"id","list","added_date","added_by","threat_type","notes"
1,"101nitro.com
1111sale.us
15dfjkbvdf.club
17ebook.com
1month-premium.com
1nitro.club
1ownandfresh1.com
1payxperxinst1.com
1redirb.com
1ts11.top
1tvv.ru
1wat.ru
2012-drakon.ru
2012-god.ru
2015-god-kozy.ru
173,applications-discord.com,"2025-05-23 15:57:04",system,malicious,
174,applications-hypesquadevents.com,"2025-05-23 15:57:04",system,malicious,
175,applicationsdiscord.com,"2025-05-23 15:57:04",system,malicious,
176,applicationsformularyhypesquad.com,"2025-05-23 15:57:04",system,malicious,
177,apply-discord-academy.com,"2025-05-23 15:57:04",system,malicious,
178,apply-discord-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
179,apply-discord-moderator.com,"2025-05-23 15:57:04",system,malicious,
180,apply-discord.com,"2025-05-23 15:57:04",system,malicious,
181,apply-discordacademy.com,"2025-05-23 15:57:04",system,malicious,
182,apply-discordmoderatoracademy.com,"2025-05-23 15:57:04",system,malicious,
183,apply-event-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
184,apply-for-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
185,apply-hype-squad-event.com,"2025-05-23 15:57:04",system,malicious,
186,apply-hype-squad.com,"2025-05-23 15:57:04",system,malicious,
187,apply-hypeevents.com,"2025-05-23 15:57:04",system,malicious,
188,apply-hypesquad-events.com,"2025-05-23 15:57:04",system,malicious,
189,apply-hypesquad-events.tk,"2025-05-23 15:57:04",system,malicious,
190,apply-hypesquad.club,"2025-05-23 15:57:04",system,malicious,
191,apply-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
192,apply-hypesquadevents-team.com,"2025-05-23 15:57:04",system,malicious,
193,apply-hypesquadevents.com,"2025-05-23 15:57:04",system,malicious,
194,apply-hypesquadeventsreturn.com,"2025-05-23 15:57:04",system,malicious,
195,apply-hypesquadsevent.com,"2025-05-23 15:57:04",system,malicious,
196,apply-hypevents.com,"2025-05-23 15:57:04",system,malicious,
197,apply-moderatoracademy.com,"2025-05-23 15:57:04",system,malicious,
198,apply-moderators.club,"2025-05-23 15:57:04",system,malicious,
199,apply-moderators.com,"2025-05-23 15:57:04",system,malicious,
200,apply-program-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
201,apply-recruitmeint.com,"2025-05-23 15:57:04",system,malicious,
202,apply-teams-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
203,apply-to-hypesquad.com,"2025-05-23 15:57:04",system,malicious,
204,applyhypesquadevents-discord.com,"2025-05-23 15:57:04",system,malicious,
205,applyhypesquadevents.com,"2025-05-23 15:57:04",system,malicious,
206,applymoderator-academy.com,"2025-05-23 15:57:04",system,malicious,
207,applys-discord.com,"2025-05-23 15:57:04",system,malicious,
208,appmoderator.com,"2025-05-23 15:57:04",system,malicious,
209,appninjas.xyz,"2025-05-23 15:57:04",system,malicious,
210,appnitro-discord.com,"2025-05-23 15:57:04",system,malicious,
211,appnitro-discord.ru.com,"2025-05-23 15:57:04",system,malicious,
212,appnitrodiscord.ru.com,"2025-05-23 15:57:04",system,malicious,
213,apprentice-moderator.com,"2025-05-23 15:57:04",system,malicious,
214,apps-discord.com,"2025-05-23 15:57:04",system,malicious,
215,apps-discord.org,"2025-05-23 15:57:04",system,malicious,
216,apps-nitro.com,"2025-05-23 15:57:04",system,malicious,
217,arcades.tech,"2025-05-23 15:57:04",system,malicious,
218,arclk.net,"2025-05-23 15:57:04",system,malicious,
219,ardeminggiftcred.ml,"2025-05-23 15:57:04",system,malicious,
220,arthyadtracker.info,"2025-05-23 15:57:04",system,malicious,
221,arthyredir.com,"2025-05-23 15:57:04",system,malicious,
222,aselink.guru,"2025-05-23 15:57:04",system,malicious,
223,aslnk.link,"2025-05-23 15:57:04",system,malicious,
224,asstok.com,"2025-05-23 15:57:04",system,malicious,
225,asstralissteam.org.ru,"2025-05-23 15:57:04",system,malicious,
226,astolfo.live,"2025-05-23 15:57:04",system,malicious,
227,astralis2.net.ru,"2025-05-23 15:57:04",system,malicious,
228,astralis2.org.ru,"2025-05-23 15:57:04",system,malicious,
229,astralisgift.fun,"2025-05-23 15:57:04",system,malicious,
230,astrallis.net.ru,"2025-05-23 15:57:04",system,malicious,
231,astresports.xyz,"2025-05-23 15:57:04",system,malicious,
232,ataribtc.com,"2025-05-23 15:57:04",system,malicious,
233,atnpx.com,"2025-05-23 15:57:04",system,malicious,
234,atzekromchan.com,"2025-05-23 15:57:04",system,malicious,
235,aucryptohubs.com,"2025-05-23 15:57:04",system,malicious,
236,auth-discord.com,"2025-05-23 15:57:04",system,malicious,
237,authnet.cf,"2025-05-23 15:57:04",system,malicious,
238,autumnbot.cloud,"2025-05-23 15:57:04",system,malicious,
239,avirus.hu,"2025-05-23 15:57:04",system,malicious,
240,avitofast.ru,"2025-05-23 15:57:04",system,malicious,
241,awescap.com,"2025-05-23 15:57:04",system,malicious,
242,awirabigmoneyroll.xyz,"2025-05-23 15:57:04",system,malicious,
243,awirabigmoneyrolls.xyz,"2025-05-23 15:57:04",system,malicious,
244,axdsz.pro,"2025-05-23 15:57:04",system,malicious,
245,azimovcase.tk,"2025-05-23 15:57:04",system,malicious,
246,azurewebsites.net,"2025-05-23 15:57:04",system,malicious,
247,b-time.site,"2025-05-23 15:57:04",system,malicious,
248,b38.info,"2025-05-23 15:57:04",system,malicious,
249,baac8634-fannykey.ru,"2025-05-23 15:57:04",system,malicious,
250,baac8634-www.fannykey.ru,"2025-05-23 15:57:04",system,malicious,
251,badge-team.ml,"2025-05-23 15:57:04",system,malicious,
252,bainushe.com,"2025-05-23 15:57:04",system,malicious,
253,baymack.com,"2025-05-23 15:57:04",system,malicious,
254,bb-delivery.icu,"2025-05-23 15:57:04",system,malicious,
255,bc.vc,"2025-05-23 15:57:04",system,malicious,
256,be-104.xyz,"2025-05-23 15:57:04",system,malicious,
257,be-105.xyz,"2025-05-23 15:57:04",system,malicious,
258,be-moderator.com,"2025-05-23 15:57:04",system,malicious,
259,beast-cup.ru,"2025-05-23 15:57:04",system,malicious,
260,beast-winer.ru,"2025-05-23 15:57:04",system,malicious,
261,become-mod.com,"2025-05-23 15:57:04",system,malicious,
262,become-moderators.com,"2025-05-23 15:57:04",system,malicious,
263,bector-blotance.xyz,"2025-05-23 15:57:04",system,malicious,
264,bedcity-lake.top,"2025-05-23 15:57:04",system,malicious,
265,bedevelopergroup.com,"2025-05-23 15:57:04",system,malicious,
266,bedevelopers.info,"2025-05-23 15:57:04",system,malicious,
267,bedevlopers.com,"2025-05-23 15:57:04",system,malicious,
268,bedevlopers.info,"2025-05-23 15:57:04",system,malicious,
269,bedynet.ru,"2025-05-23 15:57:04",system,malicious,
270,beefyv.com,"2025-05-23 15:57:04",system,malicious,
271,belekevskeigames.xyz,"2025-05-23 15:57:04",system,malicious,
272,bemoderators.com,"2025-05-23 15:57:04",system,malicious,
273,benaughty.com,"2025-05-23 15:57:04",system,malicious,
274,best-cup.com,"2025-05-23 15:57:04",system,malicious,
275,best-discord.com,"2025-05-23 15:57:04",system,malicious,
276,best-discord.xyz,"2025-05-23 15:57:04",system,malicious,
277,best-discorde.com,"2025-05-23 15:57:04",system,malicious,
278,best-drops.org.ru,"2025-05-23 15:57:04",system,malicious,
279,best-nitro-discord.com,"2025-05-23 15:57:04",system,malicious,
280,best-nitro-discorde.com,"2025-05-23 15:57:04",system,malicious,
281,best-nitro.com,"2025-05-23 15:57:04",system,malicious,
282,best-prizehouse15.info,"2025-05-23 15:57:04",system,malicious,
283,best-prizes-house.life,"2025-05-23 15:57:04",system,malicious,
284,bestbut.com,"2025-05-23 15:57:04",system,malicious,
285,bestdatinglocal1.com,"2025-05-23 15:57:04",system,malicious,
286,bestoffer2021.info,"2025-05-23 15:57:04",system,malicious,
287,bestoffer21.info,"2025-05-23 15:57:04",system,malicious,
288,bestprizeday.life,"2025-05-23 15:57:04",system,malicious,
289,bestsecretflirt.com,"2025-05-23 15:57:04",system,malicious,
290,bestskins.org.ru,"2025-05-23 15:57:04",system,malicious,
291,beststeam.gq,"2025-05-23 15:57:04",system,malicious,
292,bestwinexperience.com,"2025-05-23 15:57:04",system,malicious,
293,beta-discord.com,"2025-05-23 15:57:04",system,malicious,
294,beta-news.org,"2025-05-23 15:57:04",system,malicious,
295,beta.discorder.app,"2025-05-23 15:57:04",system,malicious,
296,betadiscord.com,"2025-05-23 15:57:04",system,malicious,
297,big.org.ru,"2025-05-23 15:57:04",system,malicious,
298,big.pp.ru,"2025-05-23 15:57:04",system,malicious,
299,bigmoneyrollawira.xyz,"2025-05-23 15:57:04",system,malicious,
300,bigosext69.com,"2025-05-23 15:57:04",system,malicious,
301,bigs.monster,"2025-05-23 15:57:04",system,malicious,
302,bigsports.xyz,"2025-05-23 15:57:04",system,malicious,
303,bike-pro.ru,"2025-05-23 15:57:04",system,malicious,
304,bilsh.com,"2025-05-23 15:57:04",system,malicious,
305,bingstyle.com,"2025-05-23 15:57:04",system,malicious,
306,bit-wall.com,"2025-05-23 15:57:04",system,malicious,
307,bitcoingenerator.cash,"2025-05-23 15:57:04",system,malicious,
308,bitcoingenerator.me,"2025-05-23 15:57:04",system,malicious,
309,bitl.cc,"2025-05-23 15:57:04",system,malicious,
310,bitly.su,"2025-05-23 15:57:04",system,malicious,
311,bitskeansell.ru,"2025-05-23 15:57:04",system,malicious,
312,bittook.com,"2025-05-23 15:57:04",system,malicious,
313,bitxenix.com,"2025-05-23 15:57:04",system,malicious,
314,bl0cksrefresh.com,"2025-05-23 15:57:04",system,malicious,
315,black-friday.ga,"2025-05-23 15:57:04",system,malicious,
316,blasterlegends.com,"2025-05-23 15:57:04",system,malicious,
317,blasze.com,"2025-05-23 15:57:04",system,malicious,
318,blasze.tk,"2025-05-23 15:57:04",system,malicious,
319,blockskipad.com,"2025-05-23 15:57:04",system,malicious,
320,blox.land,"2025-05-23 15:57:04",system,malicious,
321,bloxpromo.com,"2025-05-23 15:57:04",system,malicious,
322,blustcoin.com,"2025-05-23 15:57:04",system,malicious,
323,bmwforum.co,"2025-05-23 15:57:04",system,malicious,
